snapshot_at,id,name,city,province,status,message,updated_at,expected_reopen
2026-09-01T15:54:53.410Z,bc_missionmemorialhospi,Mission Memorial Hospital,Mission,BC,disruption,,2026-09-01 15:51:12,
2026-09-01T15:54:53.410Z,nl_lewisportehealthcent,Lewisporte Health Centre,Lewisporte,NL,disruption,,2026-09-01 15:51:10,
2026-09-01T15:54:53.410Z,nl_drykjeonkittiwakehe,Dr. Y. K. Jeon Kittiwake Health Centre,Wesleyville,NL,disruption,Virtual ER physician support,2026-09-01 15:51:10,
2026-09-01T15:54:53.410Z,bc_fraserlakecommunity,Fraser Lake Community Health Centre,Fraser Lake,BC,closed,Emergency department temporarily closed; reopening 2026-09-08 08:30.,2026-09-01 15:51:10,2026-09-08T15:30:00.000Z
2026-09-01T15:54:53.410Z,on_queenswayhealthcentr,Trillium Health Partners - Queensway Health Centre,Toronto,ON,closed,Outside operating hours,2026-09-01 15:51:07,
2026-09-01T15:54:53.410Z,sk_wilkieanddistricthea,Wilkie and District Health Centre,Wilkie,SK,closed,Emergency services are temporarily disrupted at Wilkie and District Health Centre. Emergency services are disrupted until further notice.,2026-09-01 15:51:06,
2026-09-01T15:54:53.410Z,sk_wolseleymemorialinte,Wolseley Memorial Integrated Health Centre,Wolseley,SK,disruption,Emergency services are temporarily disrupted,2026-09-01 15:51:06,
2026-09-01T15:54:53.410Z,ns_fishermensmemorialh,Fishermen's Memorial Hospital,Lunenburg,NS,disruption,"Fishermen’s Memorial Hospital emergency department in Lunenburg will be open from 7:30 a.m. to 12 p.m. (noon) from Tuesday September 1 to Friday, September 11 and closed all day on Saturday, September 12. Virtual Urgent Care is available daily from 8 a.m. until 7 p.m.",2026-09-01 15:51:06,
2026-09-01T15:54:53.410Z,sk_wakawhealthcentre,Wakaw Health Centre,Wakaw,SK,closed,Closed — opens at 16:00,2026-09-01 15:51:05,
2026-09-01T15:54:53.410Z,sk_kamsackhospitalandnu,Kamsack Hospital and Nursing Home,Kamsack,SK,closed,Emergency services are temporarily disrupted at Kamsack Hospital and District Nursing Home. Emergency Services are available Seven days a week between 8:00 a.m. and 6:30 p.m. only.,2026-09-01 15:51:02,
2026-09-01T15:54:53.410Z,ns_allsaintsspringhillh,All Saints Springhill Hospital,Springhill,NS,closed,All Saints Springhill Hospital Collaborative Emergency Centre (CEC) in Springhill is temporarily closed. Virtual Urgent Care is available daily from 8 a.m. until 7 p.m.,2026-09-01 15:50:31,
