snapshot_at,province,ers,reporting_live,pct
2026-09-01T09:30:41.035Z,NB,23,18,78
2026-09-01T09:30:41.035Z,QC,124,69,56
2026-09-01T09:30:41.035Z,PE,4,2,50
2026-09-01T09:30:41.035Z,NS,28,12,43
2026-09-01T09:30:41.035Z,ON,169,43,25
2026-09-01T09:30:41.035Z,AB,109,24,22
2026-09-01T09:30:41.035Z,MB,59,7,12
2026-09-01T09:30:41.035Z,BC,87,6,7
2026-09-01T09:30:41.035Z,NL,25,0,0
2026-09-01T09:30:41.035Z,NT,3,0,0
2026-09-01T09:30:41.035Z,NU,3,0,0
2026-09-01T09:30:41.035Z,SK,66,0,0
2026-09-01T09:30:41.035Z,YT,3,0,0
