snapshot_at,province,ers,reporting_live,pct
2026-08-08T15:33:01.178Z,NB,24,18,75
2026-08-08T15:33:01.178Z,PE,6,3,50
2026-08-08T15:33:01.178Z,QC,196,69,35
2026-08-08T15:33:01.178Z,ON,180,49,27
2026-08-08T15:33:01.178Z,AB,113,27,24
2026-08-08T15:33:01.178Z,BC,93,11,12
2026-08-08T15:33:01.178Z,MB,74,7,9
2026-08-08T15:33:01.178Z,NL,26,0,0
2026-08-08T15:33:01.178Z,NS,28,0,0
2026-08-08T15:33:01.178Z,NT,4,0,0
2026-08-08T15:33:01.178Z,NU,3,0,0
2026-08-08T15:33:01.178Z,SK,73,0,0
2026-08-08T15:33:01.178Z,YT,3,0,0
