id,name,city,province,lat,lng,has_er,data_source,wait_metric,stat_type
ab_airdriecommunityheal,Airdrie Community Health Centre,Airdrie,AB,51.287022,-114.013389,t,ahs,time_to_physician,current_estimate
ab_albertachildrenshos,Alberta Children's Hospital,Calgary,AB,51.074674,-114.146892,t,ahs,time_to_physician,current_estimate
ab_chinookregionalhospi,Chinook Regional Hospital,Lethbridge,AB,49.68535,-112.815185,t,ahs,time_to_physician,current_estimate
ab_cochranecommunityhe,Cochrane Community Health Centre,Cochrane,AB,51.185046,-114.47305,t,ahs,time_to_physician,current_estimate
ab_devongeneralhospital,Devon General Hospital,Devon,AB,53.351493,-113.730785,t,ahs,time_to_physician,current_estimate
ab_foothillsmedicalcent,Foothills Medical Centre,Calgary,AB,51.064283,-114.133948,t,ahs,time_to_physician,current_estimate
ab_fortsaskatchewancomm,Fort Saskatchewan Community Hospital,Fort Saskatchewan,AB,53.693159,-113.213229,t,ahs,time_to_physician,current_estimate
ab_greynunscommunityhos,Grey Nuns Community Hospital,Edmonton,AB,53.461583,-113.429724,t,ahs,time_to_physician,current_estimate
ab_leduccommunityhospit,Leduc Community Hospital,Leduc,AB,53.254836,-113.545331,t,ahs,time_to_physician,current_estimate
ab_medicinehatregionalh,Medicine Hat Regional Hospital,Medicine Hat,AB,50.034733,-110.702725,t,ahs,time_to_physician,current_estimate
ab_misericordiacommunit,Misericordia Community Hospital,Edmonton,AB,53.521028,-113.61232,t,ahs,time_to_physician,current_estimate
ab_northeastcommunityhe,Northeast Community Health Centre,Edmonton,AB,53.604272,-113.417472,t,ahs,time_to_physician,current_estimate
ab_northernlightsregion,Northern Lights Regional Health Centre,Fort Mcmurray,AB,56.716352,-111.362239,t,ahs,time_to_physician,current_estimate
ab_okotokshealthwellnes,Okotoks Health and Wellness Centre,Okotoks,AB,50.707604,-113.972141,t,ahs,time_to_physician,current_estimate
ab_peterlougheedcentre,Peter Lougheed Centre,Calgary,AB,51.078059,-113.98295,t,ahs,time_to_physician,current_estimate
ab_queenelizabethiihosp,Queen Elizabeth Ii Hospital,Grande Prairie,AB,55.175292,-118.786568,t,ahs,time_to_physician,current_estimate
ab_reddeerregionalhospi,Red Deer Regional Hospital Centre,Red Deer,AB,52.260779,-113.818671,t,ahs,time_to_physician,current_estimate
ab_rockyviewgeneralhosp,Rockyview General Hospital,Calgary,AB,50.989822,-114.096632,t,ahs,time_to_physician,current_estimate
ab_royalalexandrahospit,Royal Alexandra Hospital,Edmonton,AB,53.557387,-113.497772,t,ahs,time_to_physician,current_estimate
ab_sheldonmchumircentre,Sheldon M. Chumir Health Centre,Calgary,AB,51.04152,-114.071972,t,ahs,time_to_physician,current_estimate
ab_southcalgaryhealthce,South Calgary Health Centre,Calgary,AB,50.90275,-114.059027,t,ahs,time_to_physician,current_estimate
ab_southhealthcampus,South Health Campus,Calgary,AB,50.882076,-113.951144,t,ahs,time_to_physician,current_estimate
ab_southhealthcampusch,South Health Campus - Children's Emergency,Calgary,AB,50.881394,-113.952414,t,ahs,time_to_physician,current_estimate
ab_stolleryschildrensh,Stollery Children's Hospital,Edmonton,AB,53.520765,-113.52101,t,ahs,time_to_physician,current_estimate
ab_strathconacommunityh,Strathcona Community Hospital,Sherwood Park,AB,53.568056,-113.276389,t,ahs,time_to_physician,current_estimate
ab_sturgeoncommunityhos,Sturgeon Community Hospital,St Albert,AB,53.65524,-113.625711,t,ahs,time_to_physician,current_estimate
ab_universityofalbertah,University of Alberta Hospital and Stollery Children's Hospital,Edmonton,AB,53.520634,-113.524527,t,ahs,time_to_physician,current_estimate
ab_westviewhealthcentre,Westview Health Centre,Stony Plain,AB,53.537465,-113.977133,t,ahs,time_to_physician,current_estimate
bc_abbotsfordregionalho,Abbotsford Regional Hospital and Cancer Care,Abbotsford,BC,49.041893,-122.295136,t,edwaittimes,time_to_physician,current_estimate
bc_bcchildrenshospital,BC Children's Hospital,Vancouver,BC,49.2454172,-123.1235782,t,edwaittimes,time_to_physician,current_estimate
bc_burnabyhospital,Burnaby Hospital,Burnaby,BC,49.249479,-123.015787,t,edwaittimes,time_to_physician,current_estimate
bc_chilliwackgeneralhos,Chilliwack General Hospital,Chilliwack,BC,49.166993,-121.963068,t,edwaittimes,time_to_physician,current_estimate
bc_deltahospital,Delta Hospital,Delta,BC,49.085677,-123.061884,t,edwaittimes,time_to_physician,current_estimate
bc_eagleridgehospital,Eagle Ridge Hospital,Port Moody,BC,49.285359,-122.824056,t,edwaittimes,time_to_physician,current_estimate
bc_langleymemorialhosp,Langley Memorial Hospital,Langley,BC,49.094869,-122.612407,t,edwaittimes,time_to_physician,current_estimate
bc_lionsgatehospital,Lions Gate Hospital,North Vancouver,BC,49.321864,-123.06837,t,edwaittimes,time_to_physician,current_estimate
bc_peacearchhospital,Peace Arch Hospital,White Rock,BC,49.029741,-122.793026,t,edwaittimes,time_to_physician,current_estimate
bc_pembertonhealthcentr,Pemberton Health Centre,Pemberton,BC,50.321081,-122.804414,t,edwaittimes,time_to_physician,current_estimate
bc_powellrivergeneralho,Powell River General Hospital,Powell River,BC,49.850826,-124.518391,t,edwaittimes,time_to_physician,current_estimate
